#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
,World,33342965,44021,1002985,827,"24,656,153","7,683,827",65058,4278,128.7,,,
,Asia,10316968,21088,189946,424,"8,602,777","1,524,245",20699,,,,,
,North America,8741034,4789,307681,194,"5,574,247","2,859,106",17403,,,,,
,South America,7919407,309,248752,30,"6,742,088","928,567",17214,,,,,
1,USA,7321465,122,209454,1,"4,560,742","2,551,269",14130,22088,632,104336229,314765,331473384
2,India,6078200,4852,95600,26,"5,016,520","966,080",8944,4394,69,71967230,52027,1383271092
,Europe,4865964,17562,220458,173,"2,494,507","2,150,999",8201,,,,,
3,Brazil,4732309,,141776,,"4,060,088","530,445",8318,22225,666,17900000,84067,212925036
,Africa,1467824,269,35218,3,"1,213,549","219,057",1516,,,,,
4,Russia,1159573,8135,20385,61,"945,920","193,268",2300,7945,140,45400000,311066,145949784
5,Colombia,813056,,25488,,"711,472","76,096",2220,15938,500,3636868,71293,51013271
6,Peru,805302,,32262,,"664,490","108,550",1370,24343,975,3850122,116383,33081592
7,Spain,735198,,31232,,N/A,N/A,1465,15723,668,11820505,252795,46759213
8,Mexico,730317,3886,76430,187,"523,831","130,056",2385,5650,591,1671189,12929,129258499
9,Argentina,711325,,15749,,"565,935","129,641",3604,15704,348,1905361,42065,45295750
10,South Africa,670766,,16398,,"603,721","50,647",539,11276,276,4143466,69652,59487798
11,France,538569,,31727,,"94,891","411,951",1098,8247,486,10556474,161639,65308767
12,Chile,457901,,12641,,"431,704","13,556",888,23904,660,3228414,168535,19155801
13,Iran,449960,3512,25779,190,"376,531","47,650",4068,5341,306,3959783,47000,84250361
14,UK,434969,,41988,,N/A,N/A,262,6399,618,23188836,341150,67972591
15,Bangladesh,360555,1407,5193,32,"272,073","83,289",,2184,31,1921382,11639,165084336
16,Iraq,349450,,8990,,"280,673","59,787",533,8642,222,2198859,54381,40434573
17,Saudi Arabia,333193,,4683,,"317,005","11,505",1032,9535,134,6348385,181678,34943001
18,Turkey,314433,,7997,,"275,630","30,806",1583,3719,95,10037700,118709,84557198
19,Pakistan,310841,566,6466,9,"296,022","8,353",451,1401,29,3449541,15545,221906243
20,Italy,309870,,35835,,"224,417","49,618",254,5127,593,11087064,183439,60439986
21,Philippines,307288,3073,5381,37,"252,665","49,242",1758,2795,49,3624620,32972,109929959
22,Germany,286420,82,9534,,"250,800","26,086",325,3416,114,15642654,186557,83849223
23,Indonesia,278722,3509,10473,87,"206,870","61,379",,1016,38,3239244,11813,274219048
24,Israel,231026,,1466,,"159,931","69,629",767,25118,159,3424497,372325,9197590
25,Ukraine,201305,2671,3996,37,"88,453","108,856",177,4610,92,2189926,50149,43668725
26,Canada,153125,,9268,,"131,098","12,759",97,4049,245,7117709,188190,37821986
27,Ecuador,134747,,11279,,"112,296","11,172",355,7610,637,418785,23651,17706909
28,Bolivia,133901,309,7858,30,"93,791","32,252",71,11434,671,297176,25376,11711085
29,Qatar,125084,,214,,"121,995","2,875",52,44549,76,760267,270769,2807805
30,Romania,123944,1271,4748,30,"99,344","19,852",557,6453,247,2372340,123521,19205890
31,Morocco,117685,,2069,,"95,591","20,025",369,3179,56,2553350,68981,37015500
32,Belgium,114179,1376,9980,6,"19,275","84,924",135,9841,860,3135283,270239,11601889
33,Netherlands,111626,,6374,,N/A,N/A,130,6511,372,2240526,130688,17144127
34,Dominican Republic,111386,,2095,,"85,965","23,326",205,10243,193,470261,43246,10874092
35,Panama,110555,,2340,,"87,215","21,000",108,25527,540,468323,108134,4330939
36,Kazakhstan,107775,52,1699,,"102,736","3,340",221,5723,90,2895805,153782,18830569
37,Kuwait,103981,437,605,4,"95,511","7,865",125,24263,141,738783,172386,4285636
38,Egypt,102840,,5883,,"95,080","1,877",41,1000,57,135000,1313,102791164
39,Oman,98057,607,924,15,"88,234","8,899",201,19089,180,376700,73331,5136957
40,UAE,92095,626,413,1,"81,462","10,220",,9285,42,9503699,958126,9919053
41,Sweden,90923,,5880,,N/A,N/A,15,8989,581,1532632,151528,10114527
42,Guatemala,90092,,3229,,"78,698","8,165",5,5007,179,314086,17455,17994051
43,Poland,88636,1306,2447,15,"68,420","17,769",130,2343,65,3267844,86368,37836435
44,China,85372,21,4634,,"80,553",185,3,59,3,160000000,111163,1439323776
45,Japan,81690,,1545,,"74,607","5,538",160,646,12,1951249,15439,126381092
46,Belarus,77609,,818,,"74,120","2,671",,8214,87,1825481,193202,9448561
47,Honduras,75109,561,2289,1,"26,374","46,446",15,7555,230,176804,17783,9942102
48,Nepal,74745,1351,481,4,"54,640","19,624",,2554,16,998407,34121,29261038
49,Portugal,73604,,1953,,"47,647","24,004",89,7224,192,2501955,245545,10189388
50,Ethiopia,73332,,1170,,"30,363","41,799",249,634,10,1256182,10864,115629543
51,Venezuela,72691,,606,,"62,427","9,658",208,2558,21,1936520,68149,28416102
52,Costa Rica,72049,,828,,"27,760","43,461",238,14112,162,219823,43058,5105333
