#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
,World,16917714,33662,663942,1460,"10,482,364","5,771,408",66463,2170,85.2,,,
,North America,5278774,8355,212597,936,"2,680,277","2,385,900",26194,,,,,
1,USA,4498343,,152341,21,"2,188,415","2,157,587",18992,13584,460,55830453,168595,331150490
,Asia,4063830,16311,92942,220,"2,952,299","1,018,589",19697,,,,,
,South America,3856744,1146,137361,73,"2,610,828","1,108,555",14270,,,,,
,Europe,2822681,7514,202287,220,"1,699,267","921,127",5128,,,,,
2,Brazil,2484649,,88634,,"1,721,560","674,455",8318,11683,417,12601096,59251,212673594
3,India,1535335,3200,34252,28,"989,878","511,205",8944,1112,25,17743740,12848,1381011634
,Africa,877651,58,18542,2,"527,986","331,123",1124,,,,,
4,Russia,828990,5475,13673,169,"620,333","194,984",2300,5680,94,27569646,188912,145939390
5,South Africa,459761,,7257,,"287,313","165,191",539,7745,122,2830635,47683,59363180
6,Mexico,402697,7208,44876,854,"261,457","96,364",3922,3121,348,940089,7286,129032870
7,Peru,395005,,18612,,"276,452","99,941",1423,11968,564,2270717,68799,33005022
8,Chile,349800,,9240,,"322,332","18,228",1529,18287,483,1563693,81747,19128483
9,Spain,327690,,28436,,N/A,N/A,617,7008,608,6678414,142835,46756205
10,UK,300692,,45878,,N/A,N/A,97,4428,676,15197099,223772,67913277
11,Iran,296273,,16147,,"257,019","23,107",3902,3524,192,2380122,28311,84071188
12,Pakistan,276288,1063,5892,27,"244,883","25,513",1179,1249,27,1931102,8731,221190207
13,Saudi Arabia,270831,,2789,,"225,624","42,418",2103,7771,80,3174886,91095,34852577
14,Colombia,267385,,9074,,"136,690","121,621",1493,5251,178,1470613,28879,50922934
15,Italy,246488,,35123,,"198,756","12,609",40,4077,581,6634293,109740,60454745
16,Bangladesh,232194,3009,3035,35,"130,292","98,867",1,1409,18,1151258,6985,164811086
17,Turkey,227982,,5645,,"211,561","10,776",1280,2701,67,4665383,55273,84406027
18,Germany,207951,,9207,,"192,000","6,744",261,2481,110,7418812,88525,83804689
19,France,183804,,30223,,"81,311","72,270",385,2815,463,2982302,45681,65284764
20,Argentina,173355,,3179,,"75,083","95,093",1002,3833,70,660112,14596,45226696
21,Iraq,115332,,4535,,"81,062","29,735",481,2863,113,946761,23502,40283777
22,Canada,114994,,8912,,"100,134","5,948",2237,3045,236,3899192,103244,37766893
23,Qatar,109880,,167,,"106,603","3,110",92,39134,59,481930,171639,2807805
24,Indonesia,104432,2381,4975,74,"62,138","37,319",,382,18,1417322,5178,273737285
25,Egypt,92947,,4691,,"35,959","52,297",41,907,46,135000,1317,102468991
26,Kazakhstan,86192,1544,793,,"56,638","28,761",221,4586,42,2064778,109869,18793145
27,Philippines,85486,1874,1962,16,"26,996","56,528",351,779,18,1387760,12652,109686851
28,China,84060,101,4634,,"78,944",482,6,58,3,90410000,62814,1439323776
29,Ecuador,82279,,5584,,"35,283","41,412",350,4658,316,230515,13051,17662232
30,Sweden,79494,,5702,,N/A,N/A,46,7868,564,820606,81216,10104050
31,Oman,78569,665,412,10,"60,240","17,917",184,15360,81,303711,59374,5115243
32,Bolivia,72327,1146,2720,73,"21,971","47,636",71,6190,233,155994,13350,11684542
33,Ukraine,67597,1022,1650,21,"37,394","28,553",99,1546,38,998299,22838,43712285
34,Belarus,67366,,543,,"60,669","6,154",,7129,57,1270082,134413,9449077
35,Israel,66805,512,490,4,"32,697","33,618",322,7263,53,1651766,179587,9197590
36,Belgium,66662,234,9833,11,"17,476","39,353",49,5750,848,1575452,135891,11593501
37,Kuwait,65149,,442,,"55,681","9,026",124,15239,103,494298,115622,4275105
38,Dominican Republic,64690,,1101,,"32,014","31,575",279,5959,101,246953,22748,10855975
39,Panama,62223,,1349,,"36,181","24,693",148,14405,312,213597,49448,4319610
40,UAE,59546,,347,,"52,905","6,294",,6015,35,4918917,496903,9899141
41,Netherlands,53374,,6145,,N/A,N/A,21,3114,359,962965,56189,17137826
42,Singapore,51531,334,27,,"45,893","5,611",,8803,5,1321094,225681,5853802
43,Portugal,50410,,1722,,"35,626","13,062",41,4945,169,1561919,153215,10194321
44,Romania,47053,,2239,,"26,128","18,686",357,2447,116,1131699,58859,19227162
45,Guatemala,46451,,1782,,"33,494","11,175",5,2589,99,144492,8055,17938738
46,Poland,44416,512,1694,12,"33,190","9,532",66,1174,45,2157025,56999,37843317
47,Nigeria,41804,,868,,"18,764","22,172",7,202,4,267842,1297,206480284
48,Honduras,40460,719,1214,48,"5,103","34,143",59,4080,122,98904,9974,9915827
49,Bahrain,39921,,142,1,"36,531","3,248",49,23411,83,808276,474005,1705206
50,Armenia,37937,308,723,4,"27,824","9,390",10,12801,244,160380,54115,2963675
51,Afghanistan,36471,103,1271,1,"25,389","9,811",31,935,33,88199,2262,38987836
52,Switzerland,34609,,1978,,"31,000","1,631",22,3997,228,769622,88877,8659398
53,Kyrgyzstan,34592,748,1347,18,"22,296","10,949",24,5296,206,267718,40987,6531829
54,Ghana,34406,,168,,"30,621","3,617",8,1106,5,382752,12300,31117501
55,Japan,30961,,998,,"22,811","7,152",76,245,8,746229,5902,126445338
56,Azerbaijan,30858,,430,,"23,873","6,555",66,3041,42,698815,68876,10145998
57,Algeria,28615,,1174,,"19,233","8,208",73,652,27,,,43906582
58,Ireland,25929,,1764,,"23,364",801,6,5247,357,619875,125434,4941844
59,Serbia,24520,,551,,"14,047","9,922",156,2807,63,641091,73397,8734526
60,Moldova,23521,,757,4,"16,785","5,979",362,5832,188,128076,31755,4033213
61,Uzbekistan,22169,276,127,1,"12,265","9,777",138,662,4,1377915,41127,33504094
62,Morocco,21387,,327,,"17,066","3,994",31,579,9,1188801,32180,36942604
63,Austria,20850,173,716,3,"18,528","1,606",20,2314,79,870602,96623,9010316
64,Nepal,19063,,49,,"13,875","5,139",,653,2,664709,22785,29173583
65,Kenya,18581,,299,,"7,908","10,374",44,345,6,284500,5283,53851968
,Oceania,17313,278,198,9,"11,056","6,059",46,,,,,
